2025-10-15 18:32:36,290 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-10-15 18:32:36,290 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /root/.cache/nanochat/base_checkpoints/d20 with step 21400
2025-10-15 18:32:37,457 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Map: 100%|█████████████████████████████████████████| 99842/99842 [00:09<00:00, 10498.24 examples/s]
Step 00000 | Validation bpb: 0.6934
step 00116 (15.29%) | loss: 1.756517 | lrm: 0.15 | dt: 538.73ms | tok/sec: 973,195 | mfu: 42.95 | total time: 1.19m
step 00117 (15.42%) | loss: 1.753838 | lrm: 0.15 | dt: 633.80ms | tok/sec: 827,220 | mfu: 36.51 | total time: 1.20m
step 00118 (15.54%) | loss: 1.754710 | lrm: 0.16 | dt: 468.88ms | tok/sec: 1,118,160 | mfu: 49.35 | total time: 1.21m
step 00119 (15.67%) | loss: 1.753023 | lrm: 0.16 | dt: 483.27ms | tok/sec: 1,084,885 | mfu: 47.88 | total time: 1.22m
step 00120 (15.80%) | loss: 1.755079 | lrm: 0.16 | dt: 542.77ms | tok/sec: 965,951 | mfu: 42.63 | total time: 1.23m
step 00121 (15.93%) | loss: 1.751225 | lrm: 0.16 | dt: 1075.29ms | tok/sec: 487,580 | mfu: 21.52 | total time: 1.25m
step 00122 (16.04%) | loss: 1.760665 | lrm: 0.16 | dt: 702.69ms | tok/sec: 746,111 | mfu: 32.93 | total time: 1.26m
step 00123 (16.16%) | loss: 1.756027 | lrm: 0.16 | dt: 665.52ms | tok/sec: 787,789 | mfu: 34.77 | total time: 1.27m
step 00124 (16.29%) | loss: 1.755429 | lrm: 0.16 | dt: 1221.16ms | tok/sec: 429,334 | mfu: 18.95 | total time: 1.29m
step 00125 (16.43%) | loss: 1.749213 | lrm: 0.16 | dt: 573.29ms | tok/sec: 914,528 | mfu: 40.36 | total time: 1.30m
step 00126 (16.57%) | loss: 1.739112 | lrm: 0.17 | dt: 1070.48ms | tok/sec: 489,768 | mfu: 21.61 | total time: 1.32m
step 00127 (16.70%) | loss: 1.737138 | lrm: 0.17 | dt: 594.55ms | tok/sec: 881,829 | mfu: 38.92 | total time: 1.33m
step 00128 (16.84%) | loss: 1.730188 | lrm: 0.17 | dt: 654.95ms | tok/sec: 800,501 | mfu: 35.33 | total time: 1.34m
step 00129 (16.98%) | loss: 1.726056 | lrm: 0.17 | dt: 690.45ms | tok/sec: 759,344 | mfu: 33.51 | total time: 1.35m
step 00130 (17.09%) | loss: 1.725282 | lrm: 0.17 | dt: 471.45ms | tok/sec: 1,112,065 | mfu: 49.08 | total time: 1.36m
step 00131 (17.24%) | loss: 1.719363 | lrm: 0.17 | dt: 761.09ms | tok/sec: 688,867 | mfu: 30.40 | total time: 1.37m
step 00132 (17.36%) | loss: 1.724313 | lrm: 0.17 | dt: 469.68ms | tok/sec: 1,116,269 | mfu: 49.26 | total time: 1.38m
step 00133 (17.49%) | loss: 1.720291 | lrm: 0.17 | dt: 825.99ms | tok/sec: 634,736 | mfu: 28.01 | total time: 1.39m
step 00134 (17.61%) | loss: 1.722095 | lrm: 0.18 | dt: 519.63ms | tok/sec: 1,008,966 | mfu: 44.53 | total time: 1.40m
step 00135 (17.73%) | loss: 1.726908 | lrm: 0.18 | dt: 785.42ms | tok/sec: 667,525 | mfu: 29.46 | total time: 1.41m
step 00136 (17.87%) | loss: 1.722445 | lrm: 0.18 | dt: 604.39ms | tok/sec: 867,465 | mfu: 38.28 | total time: 1.42m
step 00137 (18.01%) | loss: 1.718542 | lrm: 0.18 | dt: 468.67ms | tok/sec: 1,118,676 | mfu: 49.37 | total time: 1.43m
step 00138 (18.14%) | loss: 1.721763 | lrm: 0.18 | dt: 483.31ms | tok/sec: 1,084,784 | mfu: 47.87 | total time: 1.44m
step 00139 (18.26%) | loss: 1.705720 | lrm: 0.18 | dt: 674.05ms | tok/sec: 777,821 | mfu: 34.33 | total time: 1.45m
step 00140 (18.39%) | loss: 1.698869 | lrm: 0.18 | dt: 547.83ms | tok/sec: 957,030 | mfu: 42.24 | total time: 1.46m
step 00141 (18.54%) | loss: 1.698063 | lrm: 0.19 | dt: 904.79ms | tok/sec: 579,459 | mfu: 25.57 | total time: 1.48m
step 00142 (18.67%) | loss: 1.693876 | lrm: 0.19 | dt: 741.10ms | tok/sec: 707,446 | mfu: 31.22 | total time: 1.49m
step 00143 (18.80%) | loss: 1.696704 | lrm: 0.19 | dt: 583.32ms | tok/sec: 898,793 | mfu: 39.67 | total time: 1.50m
step 00144 (18.93%) | loss: 1.689676 | lrm: 0.19 | dt: 757.35ms | tok/sec: 692,269 | mfu: 30.55 | total time: 1.51m
step 00145 (19.07%) | loss: 1.689044 | lrm: 0.19 | dt: 469.32ms | tok/sec: 1,117,120 | mfu: 49.30 | total time: 1.52m
step 00146 (19.20%) | loss: 1.685852 | lrm: 0.19 | dt: 552.73ms | tok/sec: 948,536 | mfu: 41.86 | total time: 1.53m
step 00147 (19.33%) | loss: 1.680903 | lrm: 0.19 | dt: 470.55ms | tok/sec: 1,114,197 | mfu: 49.17 | total time: 1.54m
step 00148 (19.47%) | loss: 1.680482 | lrm: 0.19 | dt: 673.56ms | tok/sec: 778,386 | mfu: 34.35 | total time: 1.55m
step 00149 (19.60%) | loss: 1.677465 | lrm: 0.20 | dt: 514.13ms | tok/sec: 1,019,751 | mfu: 45.00 | total time: 1.56m
step 00150 (19.74%) | loss: 1.681167 | lrm: 0.20 | dt: 473.82ms | tok/sec: 1,106,520 | mfu: 48.83 | total time: 1.56m
Step 00150 | Validation bpb: 0.5126
step 00151 (19.87%) | loss: 1.684786 | lrm: 0.20 | dt: 465.91ms | tok/sec: 1,125,309 | mfu: 49.66 | total time: 1.57m
step 00152 (20.00%) | loss: 1.680361 | lrm: 0.20 | dt: 475.69ms | tok/sec: 1,102,172 | mfu: 48.64 | total time: 1.58m
step 00153 (20.13%) | loss: 1.675044 | lrm: 0.20 | dt: 606.90ms | tok/sec: 863,883 | mfu: 38.13 | total time: 1.59m
step 00154 (20.26%) | loss: 1.678954 | lrm: 0.20 | dt: 691.36ms | tok/sec: 758,341 | mfu: 33.47 | total time: 1.60m
step 00155 (20.40%) | loss: 1.676715 | lrm: 0.20 | dt: 469.51ms | tok/sec: 1,116,678 | mfu: 49.28 | total time: 1.61m
step 00156 (20.52%) | loss: 1.671814 | lrm: 0.21 | dt: 635.06ms | tok/sec: 825,571 | mfu: 36.43 | total time: 1.62m
step 00157 (20.64%) | loss: 1.673992 | lrm: 0.21 | dt: 1133.74ms | tok/sec: 462,439 | mfu: 20.41 | total time: 1.64m
step 00158 (20.77%) | loss: 1.663283 | lrm: 0.21 | dt: 471.68ms | tok/sec: 1,111,530 | mfu: 49.05 | total time: 1.65m
step 00159 (20.90%) | loss: 1.660261 | lrm: 0.21 | dt: 484.84ms | tok/sec: 1,081,371 | mfu: 47.72 | total time: 1.65m
